SKU,Attr01,Attr02,Attr03,Attr04,Attr05,Attr06,Attr07,Attr08,Attr09,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49
SKU000011,XL,WarehouseC,OutOfStock,Supplier1,452,Small,WarehouseA,OutOfStock,Supplier1,468,XL,WarehouseC,LowStock,Supplier4,319,Large,WarehouseA,LowStock,Supplier2,489,Medium,WarehouseA,OutOfStock,Supplier3,129,Small,WarehouseC,OutOfStock,Supplier3,82,Small,WarehouseB,InStock,Supplier2,262,XL,WarehouseC,LowStock,Supplier1,345,XL,WarehouseB,LowStock,Supplier1,46,Large,WarehouseB,LowStock,Supplier3
SKU000012,XL,WarehouseB,OutOfStock,Supplier4,156,XL,WarehouseC,InStock,Supplier3,448,Large,WarehouseB,OutOfStock,Supplier3,166,Small,WarehouseC,InStock,Supplier3,402,Small,WarehouseA,LowStock,Supplier3,385,Medium,WarehouseC,InStock,Supplier4,498,Large,WarehouseA,OutOfStock,Supplier2,251,Small,WarehouseC,OutOfStock,Supplier2,373,Small,WarehouseC,LowStock,Supplier4,310,Medium,WarehouseA,LowStock,Supplier2
SKU000013,XL,WarehouseA,OutOfStock,Supplier4,441,Medium,WarehouseA,LowStock,Supplier3,122,Small,WarehouseB,LowStock,Supplier3,108,Small,WarehouseB,InStock,Supplier4,116,XL,WarehouseC,LowStock,Supplier1,292,Small,WarehouseB,OutOfStock,Supplier4,323,Large,WarehouseB,InStock,Supplier4,178,XL,WarehouseB,LowStock,Supplier4,492,XL,WarehouseC,OutOfStock,Supplier3,360,XL,WarehouseA,OutOfStock,Supplier4
SKU000014,XL,WarehouseB,LowStock,Supplier3,419,Large,WarehouseC,OutOfStock,Supplier4,0,Medium,WarehouseA,OutOfStock,Supplier1,449,Medium,WarehouseA,InStock,Supplier2,485,Medium,WarehouseC,LowStock,Supplier1,202,XL,WarehouseC,OutOfStock,Supplier3,467,Medium,WarehouseC,LowStock,Supplier3,19,XL,WarehouseA,InStock,Supplier1,26,Small,WarehouseC,OutOfStock,Supplier1,264,Large,WarehouseB,InStock,Supplier4
SKU000015,Medium,WarehouseC,InStock,Supplier4,26,Small,WarehouseC,OutOfStock,Supplier1,25,Medium,WarehouseB,OutOfStock,Supplier4,112,Medium,WarehouseA,LowStock,Supplier1,118,XL,WarehouseB,OutOfStock,Supplier2,245,Medium,WarehouseA,InStock,Supplier1,275,Large,WarehouseB,InStock,Supplier2,273,Large,WarehouseB,InStock,Supplier2,69,XL,WarehouseB,OutOfStock,Supplier3,272,XL,WarehouseB,OutOfStock,Supplier4
SKU000016,Large,WarehouseB,OutOfStock,Supplier2,454,Small,WarehouseA,InStock,Supplier4,163,Large,WarehouseA,OutOfStock,Supplier4,310,Small,WarehouseB,OutOfStock,Supplier1,492,Large,WarehouseB,LowStock,Supplier1,229,XL,WarehouseA,OutOfStock,Supplier3,407,Large,WarehouseC,OutOfStock,Supplier2,379,XL,WarehouseB,OutOfStock,Supplier1,232,Medium,WarehouseC,LowStock,Supplier2,328,Large,WarehouseB,OutOfStock,Supplier2
SKU000017,Medium,WarehouseA,InStock,Supplier4,69,XL,WarehouseC,OutOfStock,Supplier2,13,Large,WarehouseC,OutOfStock,Supplier4,461,XL,WarehouseA,LowStock,Supplier2,276,Large,WarehouseB,LowStock,Supplier2,383,XL,WarehouseA,LowStock,Supplier1,178,Large,WarehouseA,OutOfStock,Supplier4,14,Small,WarehouseA,OutOfStock,Supplier3,445,Small,WarehouseC,LowStock,Supplier2,286,Large,WarehouseB,OutOfStock,Supplier1
SKU000018,Medium,WarehouseA,InStock,Supplier2,468,Medium,WarehouseB,InStock,Supplier1,204,Large,WarehouseA,LowStock,Supplier4,296,Large,WarehouseA,OutOfStock,Supplier2,262,Small,WarehouseC,InStock,Supplier1,21,Large,WarehouseA,InStock,Supplier2,165,Large,WarehouseB,InStock,Supplier2,127,Small,WarehouseB,LowStock,Supplier2,8,Small,WarehouseB,LowStock,Supplier1,74,Medium,WarehouseB,OutOfStock,Supplier2
SKU000019,Medium,WarehouseA,InStock,Supplier2,194,Medium,WarehouseA,LowStock,Supplier3,44,Medium,WarehouseC,OutOfStock,Supplier4,307,Large,WarehouseB,OutOfStock,Supplier4,447,XL,WarehouseC,InStock,Supplier2,431,XL,WarehouseC,LowStock,Supplier3,398,Small,WarehouseB,OutOfStock,Supplier1,377,Small,WarehouseB,LowStock,Supplier3,385,Medium,WarehouseB,OutOfStock,Supplier3,149,Medium,WarehouseB,OutOfStock,Supplier3
SKU000020,XL,WarehouseA,LowStock,Supplier3,113,Small,WarehouseC,LowStock,Supplier2,361,XL,WarehouseA,LowStock,Supplier3,241,Large,WarehouseB,InStock,Supplier3,269,Large,WarehouseC,OutOfStock,Supplier1,118,Large,WarehouseC,LowStock,Supplier3,499,XL,WarehouseA,InStock,Supplier2,329,Large,WarehouseA,OutOfStock,Supplier4,110,Small,WarehouseA,InStock,Supplier4,233,Small,WarehouseA,InStock,Supplier4
SKU000021,Large,WarehouseB,OutOfStock,Supplier3,81,Large,WarehouseA,LowStock,Supplier1,301,Small,WarehouseC,OutOfStock,Supplier3,285,Large,WarehouseA,LowStock,Supplier3,302,Small,WarehouseC,OutOfStock,Supplier2,345,Medium,WarehouseB,InStock,Supplier4,140,XL,WarehouseA,OutOfStock,Supplier1,480,Medium,WarehouseC,InStock,Supplier1,415,Small,WarehouseC,InStock,Supplier2,123,Large,WarehouseA,OutOfStock,Supplier4
SKU000022,Large,WarehouseA,LowStock,Supplier4,152,XL,WarehouseC,InStock,Supplier4,79,Large,WarehouseB,OutOfStock,Supplier2,97,Small,WarehouseC,LowStock,Supplier4,26,Small,WarehouseB,LowStock,Supplier2,68,Large,WarehouseB,InStock,Supplier2,449,Medium,WarehouseC,LowStock,Supplier1,202,Medium,WarehouseB,LowStock,Supplier2,388,Large,WarehouseC,LowStock,Supplier1,67,XL,WarehouseC,InStock,Supplier2
SKU000023,XL,WarehouseA,OutOfStock,Supplier2,258,Small,WarehouseB,OutOfStock,Supplier4,377,Small,WarehouseC,OutOfStock,Supplier4,123,Small,WarehouseC,InStock,Supplier4,107,Small,WarehouseB,InStock,Supplier4,33,Large,WarehouseA,InStock,Supplier3,102,Large,WarehouseB,OutOfStock,Supplier4,103,Medium,WarehouseC,OutOfStock,Supplier2,338,Medium,WarehouseC,InStock,Supplier4,11,Large,WarehouseA,LowStock,Supplier3
SKU000024,Medium,WarehouseC,OutOfStock,Supplier3,166,XL,WarehouseB,LowStock,Supplier4,208,Medium,WarehouseA,OutOfStock,Supplier3,143,Medium,WarehouseB,LowStock,Supplier1,269,Medium,WarehouseB,InStock,Supplier1,188,XL,WarehouseB,OutOfStock,Supplier2,297,Medium,WarehouseB,InStock,Supplier3,357,Large,WarehouseC,OutOfStock,Supplier2,443,Medium,WarehouseA,LowStock,Supplier1,413,Small,WarehouseC,LowStock,Supplier1
SKU000025,XL,WarehouseA,InStock,Supplier1,229,Large,WarehouseB,OutOfStock,Supplier2,458,Small,WarehouseB,InStock,Supplier1,24,Large,WarehouseC,OutOfStock,Supplier3,441,Large,WarehouseA,OutOfStock,Supplier4,478,XL,WarehouseB,OutOfStock,Supplier2,353,Medium,WarehouseC,InStock,Supplier3,46,XL,WarehouseA,InStock,Supplier4,43,XL,WarehouseB,OutOfStock,Supplier2,446,Small,WarehouseB,LowStock,Supplier2
SKU000026,Large,WarehouseA,OutOfStock,Supplier2,133,Small,WarehouseC,OutOfStock,Supplier2,331,Large,WarehouseA,InStock,Supplier2,386,Large,WarehouseB,InStock,Supplier4,152,Large,WarehouseA,LowStock,Supplier1,297,Medium,WarehouseB,OutOfStock,Supplier1,205,Medium,WarehouseA,InStock,Supplier2,137,Small,WarehouseB,OutOfStock,Supplier4,60,Large,WarehouseA,LowStock,Supplier4,188,Large,WarehouseC,InStock,Supplier2
SKU000027,Large,WarehouseC,OutOfStock,Supplier3,68,Small,WarehouseA,InStock,Supplier4,113,Small,WarehouseB,InStock,Supplier2,293,XL,WarehouseB,LowStock,Supplier3,250,Large,WarehouseC,InStock,Supplier4,230,Small,WarehouseA,LowStock,Supplier1,166,XL,WarehouseC,OutOfStock,Supplier2,500,Small,WarehouseB,OutOfStock,Supplier4,467,XL,WarehouseA,OutOfStock,Supplier1,352,Large,WarehouseB,InStock,Supplier3
SKU000028,Medium,WarehouseB,LowStock,Supplier2,410,Large,WarehouseC,InStock,Supplier3,405,Small,WarehouseA,InStock,Supplier2,12,Small,WarehouseA,InStock,Supplier3,491,XL,WarehouseB,LowStock,Supplier2,117,XL,WarehouseA,OutOfStock,Supplier2,152,XL,WarehouseB,InStock,Supplier2,498,Large,WarehouseC,LowStock,Supplier4,113,Medium,WarehouseB,LowStock,Supplier3,333,Large,WarehouseA,InStock,Supplier4
SKU000029,XL,WarehouseA,InStock,Supplier3,429,Large,WarehouseC,InStock,Supplier1,95,XL,WarehouseA,OutOfStock,Supplier4,479,Large,WarehouseB,OutOfStock,Supplier3,348,XL,WarehouseC,InStock,Supplier3,160,Small,WarehouseB,OutOfStock,Supplier1,260,Small,WarehouseC,OutOfStock,Supplier2,103,Small,WarehouseC,InStock,Supplier2,277,Large,WarehouseC,OutOfStock,Supplier1,310,XL,WarehouseC,OutOfStock,Supplier4
SKU000030,Large,WarehouseB,InStock,Supplier4,356,XL,WarehouseC,LowStock,Supplier2,228,Large,WarehouseA,LowStock,Supplier3,344,Small,WarehouseA,LowStock,Supplier3,58,Small,WarehouseC,LowStock,Supplier3,2,Medium,WarehouseC,OutOfStock,Supplier4,408,Large,WarehouseB,OutOfStock,Supplier3,358,XL,WarehouseB,InStock,Supplier4,285,Small,WarehouseB,LowStock,Supplier4,30,XL,WarehouseA,OutOfStock,Supplier4
SKU000031,Large,WarehouseA,OutOfStock,Supplier4,103,Large,WarehouseC,LowStock,Supplier3,410,Medium,WarehouseB,LowStock,Supplier1,270,Small,WarehouseA,InStock,Supplier3,10,XL,WarehouseA,LowStock,Supplier1,239,Medium,WarehouseC,LowStock,Supplier2,234,Medium,WarehouseA,OutOfStock,Supplier1,65,Medium,WarehouseA,OutOfStock,Supplier3,34,XL,WarehouseC,LowStock,Supplier1,208,Large,WarehouseA,InStock,Supplier4
SKU000032,XL,WarehouseA,OutOfStock,Supplier4,462,Small,WarehouseC,LowStock,Supplier4,303,Large,WarehouseC,LowStock,Supplier2,28,Medium,WarehouseB,LowStock,Supplier4,304,Small,WarehouseC,InStock,Supplier2,86,Small,WarehouseA,OutOfStock,Supplier3,317,Medium,WarehouseA,InStock,Supplier2,25,Medium,WarehouseC,LowStock,Supplier4,32,Large,WarehouseC,InStock,Supplier1,114,Large,WarehouseB,InStock,Supplier3
SKU000033,XL,WarehouseA,OutOfStock,Supplier1,149,XL,WarehouseB,OutOfStock,Supplier3,196,Small,WarehouseC,InStock,Supplier2,321,Medium,WarehouseB,InStock,Supplier2,199,Large,WarehouseC,InStock,Supplier1,52,Small,WarehouseA,InStock,Supplier2,79,XL,WarehouseA,LowStock,Supplier4,466,Small,WarehouseB,LowStock,Supplier3,203,Medium,WarehouseB,InStock,Supplier2,2,Small,WarehouseA,LowStock,Supplier4
SKU000034,Small,WarehouseB,OutOfStock,Supplier1,178,Large,WarehouseA,LowStock,Supplier3,279,Large,WarehouseA,OutOfStock,Supplier4,287,Medium,WarehouseB,OutOfStock,Supplier4,89,Large,WarehouseB,InStock,Supplier3,273,XL,WarehouseA,OutOfStock,Supplier1,14,Medium,WarehouseA,OutOfStock,Supplier3,468,Large,WarehouseA,LowStock,Supplier2,7,Small,WarehouseA,LowStock,Supplier4,55,Medium,WarehouseB,LowStock,Supplier3
SKU000035,Small,WarehouseC,OutOfStock,Supplier2,267,XL,WarehouseA,OutOfStock,Supplier4,196,Large,WarehouseC,OutOfStock,Supplier4,381,Medium,WarehouseA,OutOfStock,Supplier4,95,Medium,WarehouseB,OutOfStock,Supplier3,245,Medium,WarehouseA,LowStock,Supplier1,164,XL,WarehouseB,InStock,Supplier2,242,Medium,WarehouseC,LowStock,Supplier1,387,XL,WarehouseB,OutOfStock,Supplier4,433,Medium,WarehouseB,InStock,Supplier4
SKU000036,Medium,WarehouseA,InStock,Supplier4,90,Medium,WarehouseA,InStock,Supplier2,120,XL,WarehouseB,LowStock,Supplier4,125,XL,WarehouseA,LowStock,Supplier1,68,XL,WarehouseC,OutOfStock,Supplier4,89,Medium,WarehouseA,LowStock,Supplier4,176,Medium,WarehouseB,OutOfStock,Supplier1,264,Medium,WarehouseA,OutOfStock,Supplier3,352,XL,WarehouseA,OutOfStock,Supplier4,224,Large,WarehouseB,InStock,Supplier3
SKU000037,Large,WarehouseA,InStock,Supplier1,373,Small,WarehouseB,LowStock,Supplier1,414,Medium,WarehouseB,LowStock,Supplier3,179,Medium,WarehouseC,OutOfStock,Supplier4,286,XL,WarehouseC,LowStock,Supplier1,376,Medium,WarehouseB,OutOfStock,Supplier2,131,Small,WarehouseB,InStock,Supplier4,439,Small,WarehouseC,OutOfStock,Supplier3,71,Large,WarehouseC,OutOfStock,Supplier4,435,Small,WarehouseC,OutOfStock,Supplier3
SKU000038,Medium,WarehouseC,OutOfStock,Supplier2,142,Small,WarehouseC,OutOfStock,Supplier3,403,Medium,WarehouseC,OutOfStock,Supplier4,350,Large,WarehouseC,OutOfStock,Supplier1,64,Small,WarehouseA,OutOfStock,Supplier4,408,Small,WarehouseB,OutOfStock,Supplier2,197,Large,WarehouseA,LowStock,Supplier4,19,Large,WarehouseB,InStock,Supplier3,87,XL,WarehouseA,InStock,Supplier3,138,Small,WarehouseA,InStock,Supplier2
SKU000039,Small,WarehouseB,OutOfStock,Supplier2,417,Large,WarehouseC,LowStock,Supplier4,469,Small,WarehouseA,InStock,Supplier4,396,Large,WarehouseA,LowStock,Supplier3,321,XL,WarehouseA,InStock,Supplier3,391,XL,WarehouseC,InStock,Supplier1,65,Large,WarehouseC,LowStock,Supplier2,385,Small,WarehouseA,LowStock,Supplier3,143,XL,WarehouseC,LowStock,Supplier2,492,Large,WarehouseA,InStock,Supplier1
SKU000040,Large,WarehouseC,LowStock,Supplier4,61,Medium,WarehouseA,LowStock,Supplier4,421,XL,WarehouseC,LowStock,Supplier1,66,Small,WarehouseA,OutOfStock,Supplier1,133,Medium,WarehouseB,InStock,Supplier4,336,XL,WarehouseC,LowStock,Supplier1,380,Large,WarehouseC,LowStock,Supplier1,484,Large,WarehouseA,InStock,Supplier1,238,Small,WarehouseB,OutOfStock,Supplier1,487,XL,WarehouseA,InStock,Supplier3
SKU000041,Large,WarehouseA,OutOfStock,Supplier2,427,XL,WarehouseC,OutOfStock,Supplier4,371,Large,WarehouseC,LowStock,Supplier2,362,XL,WarehouseC,OutOfStock,Supplier2,286,Medium,WarehouseC,OutOfStock,Supplier2,411,XL,WarehouseC,InStock,Supplier2,131,Small,WarehouseB,OutOfStock,Supplier2,396,Small,WarehouseB,OutOfStock,Supplier2,73,Small,WarehouseC,InStock,Supplier2,338,Medium,WarehouseA,OutOfStock,Supplier4
SKU000042,Large,WarehouseB,LowStock,Supplier2,162,Medium,WarehouseB,InStock,Supplier4,96,XL,WarehouseB,InStock,Supplier1,1,Medium,WarehouseA,OutOfStock,Supplier1,338,Medium,WarehouseC,InStock,Supplier2,286,Medium,WarehouseC,LowStock,Supplier2,124,XL,WarehouseA,InStock,Supplier1,229,Medium,WarehouseC,OutOfStock,Supplier2,334,Small,WarehouseA,OutOfStock,Supplier1,296,Small,WarehouseB,OutOfStock,Supplier4
SKU000043,Small,WarehouseB,LowStock,Supplier2,190,XL,WarehouseB,LowStock,Supplier3,359,Large,WarehouseB,LowStock,Supplier2,64,XL,WarehouseC,OutOfStock,Supplier1,149,Small,WarehouseA,OutOfStock,Supplier4,361,Large,WarehouseB,OutOfStock,Supplier1,324,Small,WarehouseA,InStock,Supplier2,207,Medium,WarehouseB,OutOfStock,Supplier4,180,XL,WarehouseB,OutOfStock,Supplier1,314,Medium,WarehouseB,LowStock,Supplier1
SKU000044,XL,WarehouseB,InStock,Supplier1,63,XL,WarehouseC,OutOfStock,Supplier3,63,Medium,WarehouseB,OutOfStock,Supplier1,349,XL,WarehouseB,LowStock,Supplier2,276,Small,WarehouseB,OutOfStock,Supplier4,455,Medium,WarehouseB,LowStock,Supplier4,453,Large,WarehouseB,OutOfStock,Supplier2,254,Small,WarehouseA,InStock,Supplier1,494,Small,WarehouseC,InStock,Supplier1,431,Medium,WarehouseB,OutOfStock,Supplier1
SKU000045,Small,WarehouseB,InStock,Supplier1,332,Large,WarehouseB,InStock,Supplier4,366,Large,WarehouseA,InStock,Supplier3,303,XL,WarehouseA,OutOfStock,Supplier1,55,Large,WarehouseC,LowStock,Supplier1,7,Large,WarehouseA,OutOfStock,Supplier2,102,Large,WarehouseC,InStock,Supplier3,460,Large,WarehouseC,InStock,Supplier4,122,Large,WarehouseC,InStock,Supplier1,48,Large,WarehouseC,OutOfStock,Supplier2
SKU000046,Large,WarehouseB,InStock,Supplier2,372,XL,WarehouseC,InStock,Supplier2,154,Medium,WarehouseA,InStock,Supplier4,482,Small,WarehouseC,InStock,Supplier2,340,Large,WarehouseC,OutOfStock,Supplier3,214,XL,WarehouseB,OutOfStock,Supplier1,312,XL,WarehouseC,LowStock,Supplier1,129,XL,WarehouseC,LowStock,Supplier2,231,Large,WarehouseC,OutOfStock,Supplier4,219,XL,WarehouseC,InStock,Supplier1
SKU000047,Medium,WarehouseB,InStock,Supplier2,31,Small,WarehouseA,InStock,Supplier3,279,Large,WarehouseC,InStock,Supplier1,165,Large,WarehouseA,OutOfStock,Supplier3,124,Large,WarehouseA,InStock,Supplier2,25,Medium,WarehouseC,OutOfStock,Supplier1,197,XL,WarehouseA,OutOfStock,Supplier1,327,Small,WarehouseA,OutOfStock,Supplier1,125,Large,WarehouseC,LowStock,Supplier2,142,Large,WarehouseC,OutOfStock,Supplier3
SKU000048,XL,WarehouseB,InStock,Supplier4,330,Medium,WarehouseC,OutOfStock,Supplier2,465,Small,WarehouseA,InStock,Supplier2,192,XL,WarehouseB,OutOfStock,Supplier2,385,XL,WarehouseB,InStock,Supplier2,191,Large,WarehouseC,OutOfStock,Supplier4,64,Large,WarehouseA,InStock,Supplier3,281,Small,WarehouseC,InStock,Supplier1,338,Small,WarehouseA,LowStock,Supplier1,207,XL,WarehouseC,OutOfStock,Supplier1
SKU000049,XL,WarehouseC,InStock,Supplier3,260,Large,WarehouseC,OutOfStock,Supplier3,320,Small,WarehouseC,InStock,Supplier2,174,Medium,WarehouseB,OutOfStock,Supplier1,391,Large,WarehouseC,InStock,Supplier4,81,Small,WarehouseC,InStock,Supplier4,30,Small,WarehouseB,LowStock,Supplier2,180,Large,WarehouseC,OutOfStock,Supplier2,285,Medium,WarehouseC,OutOfStock,Supplier4,329,Large,WarehouseC,InStock,Supplier2
SKU000050,Small,WarehouseA,OutOfStock,Supplier1,74,XL,WarehouseA,InStock,Supplier2,23,Medium,WarehouseB,LowStock,Supplier3,457,XL,WarehouseA,OutOfStock,Supplier2,325,Medium,WarehouseB,LowStock,Supplier4,9,Large,WarehouseC,OutOfStock,Supplier3,370,Large,WarehouseC,LowStock,Supplier2,173,Large,WarehouseA,OutOfStock,Supplier2,331,XL,WarehouseC,OutOfStock,Supplier2,108,Small,WarehouseC,InStock,Supplier2
SKU000051,XL,WarehouseA,OutOfStock,Supplier1,306,Large,WarehouseC,LowStock,Supplier3,408,Small,WarehouseB,OutOfStock,Supplier1,498,Medium,WarehouseA,InStock,Supplier1,28,Medium,WarehouseB,LowStock,Supplier2,426,Small,WarehouseB,OutOfStock,Supplier1,483,XL,WarehouseC,InStock,Supplier2,84,Large,WarehouseA,LowStock,Supplier4,217,Medium,WarehouseC,OutOfStock,Supplier1,137,XL,WarehouseA,InStock,Supplier4
SKU000052,Small,WarehouseA,OutOfStock,Supplier2,74,Large,WarehouseC,OutOfStock,Supplier3,382,Medium,WarehouseC,OutOfStock,Supplier4,363,XL,WarehouseB,OutOfStock,Supplier4,154,Medium,WarehouseC,InStock,Supplier4,432,Medium,WarehouseA,LowStock,Supplier2,241,Large,WarehouseB,LowStock,Supplier2,395,Small,WarehouseA,LowStock,Supplier1,269,XL,WarehouseC,InStock,Supplier1,70,Medium,WarehouseA,LowStock,Supplier1
SKU000053,Large,WarehouseB,LowStock,Supplier1,418,XL,WarehouseA,InStock,Supplier1,149,Large,WarehouseA,InStock,Supplier4,428,Small,WarehouseB,LowStock,Supplier4,243,XL,WarehouseA,OutOfStock,Supplier1,452,XL,WarehouseB,OutOfStock,Supplier1,154,XL,WarehouseB,OutOfStock,Supplier4,151,Small,WarehouseC,OutOfStock,Supplier2,94,Large,WarehouseA,InStock,Supplier2,421,Medium,WarehouseA,OutOfStock,Supplier4
SKU000054,Large,WarehouseC,InStock,Supplier4,119,Large,WarehouseB,InStock,Supplier1,394,Medium,WarehouseB,LowStock,Supplier2,488,Large,WarehouseC,InStock,Supplier3,495,Small,WarehouseA,OutOfStock,Supplier4,114,Large,WarehouseA,InStock,Supplier2,486,Small,WarehouseA,InStock,Supplier2,71,Large,WarehouseA,OutOfStock,Supplier4,166,XL,WarehouseB,InStock,Supplier1,484,XL,WarehouseB,OutOfStock,Supplier2
SKU000055,Large,WarehouseA,LowStock,Supplier4,295,XL,WarehouseB,LowStock,Supplier3,133,Small,WarehouseC,InStock,Supplier2,385,Medium,WarehouseA,OutOfStock,Supplier4,490,XL,WarehouseA,LowStock,Supplier2,194,Small,WarehouseB,OutOfStock,Supplier1,306,XL,WarehouseA,InStock,Supplier1,166,Large,WarehouseB,OutOfStock,Supplier2,153,Large,WarehouseB,LowStock,Supplier2,135,XL,WarehouseC,OutOfStock,Supplier2
