Respondent,Demographics,Demographics,Demographics,Satisfaction,Satisfaction,Satisfaction,Loyalty,Loyalty,Meta
R00157,67,Nonbinary,East,2,2,2,No,No,2025-01-22
R00158,62,M,West,3,5,4,Yes,Yes,2025-05-13
R00159,75,PreferNot,South,3,2,4,No,Yes,2025-10-20
R00160,26,M,South,5,1,2,No,Yes,2025-10-02
R00161,54,Nonbinary,North,4,4,2,Yes,Yes,2025-05-17
R00162,21,PreferNot,South,3,2,3,Yes,No,2025-01-26
R00163,37,PreferNot,West,5,2,2,Yes,No,2025-11-11
R00164,72,PreferNot,South,3,5,5,Yes,No,2025-05-03
R00165,21,M,South,4,3,1,No,Yes,2025-11-11
R00166,71,F,North,1,4,2,Yes,No,2025-10-01
R00167,77,F,East,5,1,2,Yes,Yes,2025-11-28
R00168,72,PreferNot,South,3,3,2,No,No,2025-06-02
R00169,22,F,South,1,4,3,No,Yes,2025-08-26
R00170,72,Nonbinary,North,4,5,2,Yes,Yes,2025-12-16
R00171,52,Nonbinary,Central,1,2,2,No,Yes,2025-11-11
R00172,58,M,West,5,1,3,Yes,Yes,2025-01-24
R00173,77,M,East,5,2,5,No,No,2025-08-22
R00174,50,PreferNot,North,1,5,4,Yes,No,2025-12-20
R00175,71,M,South,4,4,1,Yes,No,2025-12-08
R00176,49,Nonbinary,South,4,5,3,No,Yes,2025-05-01
R00177,29,PreferNot,South,3,4,2,Yes,Yes,2025-10-05
R00178,75,PreferNot,South,5,1,2,No,No,2025-10-15
R00179,79,PreferNot,South,4,5,2,Yes,No,2025-08-15
R00180,75,Nonbinary,North,1,4,3,Yes,No,2025-01-15
R00181,43,M,South,3,1,5,No,No,2025-09-01
R00182,61,M,West,1,5,1,Yes,Yes,2025-08-15
R00183,37,PreferNot,South,4,4,2,No,Yes,2025-09-17
R00184,30,PreferNot,West,4,5,2,No,Yes,2025-08-18
R00185,76,PreferNot,East,5,1,5,Yes,No,2025-08-09
R00186,60,F,North,3,2,2,Yes,No,2025-01-01
R00187,21,F,North,4,3,3,No,No,2025-02-28
R00188,22,F,West,1,1,5,Yes,Yes,2025-12-21
R00189,21,Nonbinary,East,3,1,1,Yes,Yes,2025-01-17
R00190,42,M,West,4,4,2,Yes,No,2025-08-03
R00191,54,F,South,5,3,4,Yes,No,2025-01-09
R00192,78,PreferNot,East,5,5,5,Yes,Yes,2025-11-13
R00193,59,F,Central,2,3,3,Yes,Yes,2025-12-10
R00194,36,M,South,2,2,4,Yes,Yes,2025-03-03
R00195,49,Nonbinary,West,3,5,1,No,Yes,2025-09-25
R00196,22,F,East,5,4,3,No,Yes,2025-12-14
R00197,70,M,South,4,1,4,No,No,2025-05-05
R00198,79,PreferNot,East,5,3,4,No,No,2025-03-21
R00199,44,PreferNot,North,2,1,1,No,No,2025-07-08
R00200,54,PreferNot,West,1,2,2,Yes,No,2025-12-28
R00201,34,PreferNot,Central,4,2,1,No,Yes,2025-12-09
R00202,56,Nonbinary,Central,3,2,2,Yes,No,2025-03-22
R00203,57,F,North,3,3,5,No,No,2025-08-11
R00204,52,F,East,5,5,1,Yes,Yes,2025-06-02
R00205,34,PreferNot,East,1,1,5,Yes,Yes,2025-08-03
R00206,37,Nonbinary,East,4,3,1,Yes,No,2025-01-21
R00207,48,M,North,5,2,1,No,Yes,2025-04-05
R00208,32,M,North,5,4,1,No,Yes,2025-06-20
R00209,79,F,South,1,2,1,No,Yes,2025-03-20
R00210,39,PreferNot,East,1,1,4,Yes,No,2025-09-27
R00211,79,F,East,2,4,4,No,Yes,2025-08-04
R00212,70,M,West,3,2,3,Yes,No,2025-11-06
R00213,73,PreferNot,North,3,3,5,Yes,Yes,2025-03-14
R00214,27,Nonbinary,South,2,4,4,Yes,Yes,2025-05-08
R00215,40,F,West,4,4,2,Yes,No,2025-04-17
R00216,44,Nonbinary,Central,3,1,1,Yes,Yes,2025-04-02
R00217,63,Nonbinary,South,1,5,5,Yes,Yes,2025-04-27
R00218,43,F,North,2,4,5,No,Yes,2025-11-06
R00219,26,PreferNot,South,5,1,2,Yes,No,2025-06-04
R00220,63,Nonbinary,Central,5,4,4,No,Yes,2025-02-03
R00221,35,M,East,3,3,4,No,Yes,2025-06-06
R00222,49,M,North,2,5,3,No,Yes,2025-07-05
R00223,62,Nonbinary,East,2,5,1,Yes,Yes,2025-05-22
R00224,44,F,West,2,1,3,No,Yes,2025-12-20
R00225,20,PreferNot,West,3,4,4,No,No,2025-12-25
R00226,33,F,East,3,1,4,Yes,Yes,2025-01-21
R00227,55,F,South,4,2,3,Yes,Yes,2025-06-14
R00228,44,M,South,4,2,4,No,Yes,2025-09-02
R00229,42,M,East,5,5,4,No,Yes,2025-08-21
R00230,64,PreferNot,South,5,3,4,No,No,2025-02-11
R00231,41,M,East,4,5,4,Yes,No,2025-07-20
R00232,23,M,West,2,3,4,Yes,Yes,2025-08-19
R00233,62,PreferNot,West,2,4,5,No,Yes,2025-08-07
R00234,21,PreferNot,West,5,1,2,No,Yes,2025-09-19
R00235,52,Nonbinary,North,5,2,3,No,No,2025-02-09
R00236,60,M,South,1,1,5,Yes,No,2025-09-18
R00237,75,Nonbinary,West,2,5,3,No,Yes,2025-11-03
R00238,26,F,West,4,1,4,No,No,2025-06-06
R00239,36,Nonbinary,Central,5,1,5,No,Yes,2025-05-18
R00240,42,M,North,4,1,3,Yes,No,2025-01-04
R00241,80,Nonbinary,West,3,3,4,No,Yes,2025-07-23
R00242,67,M,West,3,1,2,Yes,Yes,2025-05-27
R00243,50,Nonbinary,Central,4,1,4,Yes,No,2025-06-07
R00244,35,M,East,2,4,5,Yes,No,2025-10-27
R00245,64,PreferNot,East,3,5,5,No,No,2025-09-23
R00246,27,PreferNot,South,5,4,3,Yes,Yes,2025-10-07
R00247,71,PreferNot,South,1,2,4,No,No,2025-09-25
R00248,76,M,South,2,2,2,No,No,2025-12-11
R00249,46,M,North,1,5,5,No,No,2025-04-09
R00250,20,F,South,2,4,4,No,Yes,2025-11-07
R00251,57,F,South,3,3,1,Yes,Yes,2025-05-08
R00252,71,F,South,5,5,4,No,No,2025-10-01
R00253,49,PreferNot,East,5,4,4,Yes,No,2025-08-27
R00254,63,PreferNot,West,2,3,5,Yes,No,2025-12-17
R00255,45,Nonbinary,South,2,2,5,No,Yes,2025-05-04
R00256,62,M,South,1,4,5,Yes,Yes,2025-05-13
R00257,46,PreferNot,Central,1,2,4,No,No,2025-05-03
R00258,70,M,Central,3,5,5,No,Yes,2025-02-20
R00259,46,F,South,4,5,2,Yes,No,2025-08-11
R00260,41,PreferNot,West,5,5,5,No,Yes,2025-03-27
R00261,79,Nonbinary,North,4,1,2,No,Yes,2025-05-04
R00262,31,M,Central,4,4,3,Yes,No,2025-04-15
R00263,40,Nonbinary,South,2,5,2,Yes,Yes,2025-08-14
R00264,30,F,East,3,3,1,Yes,Yes,2025-02-16
R00265,21,PreferNot,Central,2,3,4,No,No,2025-09-14
R00266,42,F,South,4,2,4,Yes,No,2025-11-03
R00267,57,M,North,5,4,5,No,No,2025-05-27
R00268,65,Nonbinary,Central,1,2,3,Yes,No,2025-07-15
R00269,27,F,Central,2,5,4,Yes,Yes,2025-07-21
R00270,31,F,West,1,4,1,Yes,No,2025-12-09
R00271,26,M,West,1,2,5,Yes,Yes,2025-10-10
R00272,71,M,West,5,5,3,No,No,2025-06-06
R00273,75,M,North,4,2,5,Yes,Yes,2025-08-28
R00274,42,F,West,5,5,2,No,Yes,2025-03-28
R00275,54,Nonbinary,South,5,3,4,Yes,Yes,2025-09-05
R00276,35,M,East,2,5,3,Yes,Yes,2025-06-03
R00277,65,M,West,4,3,3,No,No,2025-10-10
R00278,63,F,South,5,5,5,Yes,Yes,2025-07-15
R00279,29,PreferNot,West,2,2,5,Yes,Yes,2025-04-08
R00280,72,F,Central,1,2,3,Yes,No,2025-09-26
R00281,54,M,South,1,4,1,No,No,2025-11-28
R00282,61,M,West,5,3,1,Yes,No,2025-01-07
R00283,75,Nonbinary,West,3,5,4,No,No,2025-04-13
R00284,23,Nonbinary,East,4,4,1,No,No,2025-02-14
R00285,63,Nonbinary,West,3,3,2,No,No,2025-05-11
R00286,26,PreferNot,East,4,4,4,No,No,2025-02-01
R00287,69,Nonbinary,East,5,1,3,Yes,No,2025-08-04
R00288,29,Nonbinary,Central,1,5,3,Yes,No,2025-08-10
R00289,30,F,Central,3,4,3,Yes,No,2025-01-25
R00290,72,Nonbinary,Central,4,2,5,Yes,No,2025-09-26
R00291,18,F,Central,5,1,1,No,No,2025-04-27
R00292,73,Nonbinary,North,4,1,3,Yes,No,2025-11-17
R00293,54,F,Central,1,1,2,No,No,2025-03-25
R00294,32,F,South,4,2,1,No,No,2025-03-02
R00295,33,F,Central,5,5,3,Yes,Yes,2025-11-23
R00296,51,M,East,5,5,5,Yes,Yes,2025-06-01
R00297,74,PreferNot,South,2,4,1,Yes,Yes,2025-03-03
R00298,61,PreferNot,West,2,2,4,No,No,2025-07-12
R00299,74,Nonbinary,Central,3,4,1,Yes,No,2025-03-03
R00300,59,PreferNot,North,3,2,2,Yes,No,2025-12-03
R00301,25,M,East,1,3,1,No,No,2025-02-03
R00302,37,Nonbinary,Central,5,1,4,Yes,No,2025-01-12
R00303,43,M,West,2,5,4,Yes,No,2025-01-13
R00304,22,Nonbinary,South,1,5,5,Yes,Yes,2025-03-18
R00305,30,M,North,5,2,5,No,Yes,2025-06-10
R00306,63,PreferNot,North,3,3,3,No,Yes,2025-03-08
R00307,68,F,East,4,3,1,No,No,2025-09-09
R00308,53,Nonbinary,South,5,3,5,Yes,No,2025-03-21
R00309,23,PreferNot,West,5,2,5,Yes,Yes,2025-02-15
R00310,22,F,South,1,4,1,No,No,2025-07-06
R00311,42,F,South,2,1,1,Yes,Yes,2025-06-24
R00312,52,PreferNot,East,1,1,3,No,Yes,2025-06-11
R00313,43,F,West,1,3,1,No,No,2025-06-01
R00314,34,PreferNot,North,5,5,3,No,No,2025-12-23
R00315,74,PreferNot,East,2,4,1,Yes,No,2025-01-01
R00316,72,M,East,3,2,2,Yes,Yes,2025-08-08
R00317,24,F,North,3,4,4,No,Yes,2025-11-10
R00318,34,Nonbinary,West,3,2,1,No,Yes,2025-07-07
R00319,65,Nonbinary,Central,2,5,1,Yes,Yes,2025-06-13
R00320,58,M,Central,3,2,5,No,Yes,2025-04-13
R00321,20,F,East,4,5,3,Yes,No,2025-06-28
R00322,54,Nonbinary,West,3,1,4,Yes,No,2025-05-05
R00323,40,M,East,1,2,2,No,No,2025-05-24
R00324,74,PreferNot,West,5,2,5,No,Yes,2025-01-13
R00325,73,F,Central,1,3,3,No,No,2025-12-10
R00326,64,Nonbinary,North,3,4,4,No,Yes,2025-05-09
R00327,44,Nonbinary,East,3,5,4,No,Yes,2025-03-05
R00328,28,PreferNot,West,5,2,1,Yes,Yes,2025-05-24
R00329,77,Nonbinary,East,3,3,3,No,No,2025-04-22
R00330,47,M,North,1,2,1,Yes,Yes,2025-11-05
R00331,27,PreferNot,West,1,4,1,Yes,Yes,2025-03-22
R00332,22,Nonbinary,Central,3,4,1,No,Yes,2025-10-04
R00333,47,Nonbinary,North,5,1,1,Yes,Yes,2025-03-17
R00334,46,PreferNot,West,4,3,1,No,No,2025-07-28
R00335,41,Nonbinary,South,4,5,1,No,Yes,2025-02-10
R00336,56,PreferNot,North,5,3,3,Yes,No,2025-07-28
R00337,63,M,Central,2,1,4,No,Yes,2025-09-17
R00338,26,PreferNot,East,5,1,4,No,No,2025-10-26
R00339,58,F,East,2,4,4,Yes,No,2025-08-16
R00340,76,Nonbinary,South,1,5,4,Yes,Yes,2025-11-19
R00341,70,PreferNot,East,3,2,2,No,Yes,2025-10-06
R00342,36,PreferNot,East,1,2,2,Yes,Yes,2025-09-03
R00343,74,M,South,3,1,3,No,Yes,2025-03-21
R00344,35,M,South,4,5,3,Yes,Yes,2025-02-08
R00345,22,PreferNot,North,4,1,1,No,No,2025-06-09
R00346,63,Nonbinary,West,4,3,4,No,No,2025-03-05
R00347,73,F,North,3,4,2,No,Yes,2025-01-27
R00348,40,F,North,1,1,5,Yes,Yes,2025-12-09
R00349,58,M,West,1,4,2,Yes,Yes,2025-09-23
R00350,65,F,South,3,2,5,Yes,Yes,2025-08-25
R00351,46,Nonbinary,East,4,4,4,Yes,Yes,2025-09-26
R00352,70,F,East,4,3,4,No,No,2025-04-04
R00353,45,Nonbinary,South,2,2,2,No,No,2025-07-10
R00354,74,PreferNot,West,3,4,2,No,No,2025-03-17
R00355,80,PreferNot,Central,3,4,2,No,No,2025-09-04
R00356,57,M,South,3,2,3,No,Yes,2025-10-18
R00357,49,F,South,2,1,1,No,No,2025-06-22
R00358,40,F,West,2,5,1,No,Yes,2025-03-24
R00359,23,M,Central,2,1,3,No,Yes,2025-02-03
R00360,49,F,East,4,4,3,Yes,No,2025-07-17
R00361,75,PreferNot,Central,2,5,4,No,Yes,2025-09-02
R00362,77,M,South,5,2,2,No,No,2025-12-07
R00363,42,PreferNot,Central,3,5,4,Yes,No,2025-07-20
R00364,31,Nonbinary,East,4,5,2,Yes,No,2025-04-20
R00365,61,F,Central,5,2,4,No,No,2025-01-05
R00366,36,F,West,2,2,4,No,No,2025-07-12
R00367,23,F,East,1,1,5,Yes,No,2025-07-23
R00368,24,PreferNot,West,2,4,2,No,Yes,2025-01-25
R00369,43,F,Central,2,2,4,No,Yes,2025-03-27
R00370,44,Nonbinary,South,2,1,2,No,Yes,2025-09-13
R00371,47,Nonbinary,South,2,1,4,No,Yes,2025-02-19
R00372,42,PreferNot,Central,4,5,2,Yes,No,2025-05-10
R00373,47,F,Central,4,4,3,Yes,No,2025-04-17
R00374,78,F,West,4,1,1,No,Yes,2025-02-27
R00375,39,Nonbinary,North,4,1,2,No,No,2025-03-26
R00376,34,PreferNot,East,4,2,2,No,No,2025-07-11
R00377,61,F,South,4,1,3,No,No,2025-06-25
R00378,73,PreferNot,East,5,4,4,No,No,2025-01-12
R00379,74,M,East,5,3,5,No,No,2025-06-16
R00380,32,F,North,2,3,5,No,No,2025-01-05
R00381,49,PreferNot,South,5,3,2,No,No,2025-01-12
R00382,27,Nonbinary,North,4,3,4,Yes,No,2025-03-24
R00383,71,Nonbinary,South,4,2,4,Yes,No,2025-10-23
R00384,63,Nonbinary,Central,3,5,4,No,No,2025-02-22
R00385,40,Nonbinary,Central,2,4,2,No,No,2025-03-25
R00386,52,M,South,5,5,2,Yes,Yes,2025-01-27
R00387,46,M,Central,1,3,2,No,No,2025-04-03
R00388,48,Nonbinary,West,1,5,2,No,Yes,2025-01-24
R00389,20,PreferNot,South,2,5,4,No,No,2025-02-20
R00390,37,Nonbinary,South,3,5,3,Yes,Yes,2025-11-28
R00391,30,F,North,3,2,3,No,No,2025-03-21
R00392,25,Nonbinary,East,2,4,1,Yes,Yes,2025-10-02
R00393,51,Nonbinary,Central,4,2,4,No,No,2025-03-16
R00394,71,F,West,2,2,5,Yes,No,2025-04-14
R00395,70,PreferNot,Central,4,3,5,Yes,Yes,2025-07-03
R00396,70,PreferNot,West,1,3,4,Yes,No,2025-04-10
R00397,47,F,South,4,4,5,Yes,Yes,2025-10-01
R00398,18,M,West,4,5,2,No,No,2025-05-26
R00399,67,F,Central,4,4,5,No,No,2025-12-20
R00400,67,Nonbinary,East,3,3,3,No,Yes,2025-10-08
R00401,56,F,North,3,3,1,No,Yes,2025-07-22
R00402,70,M,East,5,5,1,Yes,Yes,2025-12-21
R00403,57,Nonbinary,South,2,2,3,Yes,Yes,2025-02-14
R00404,30,M,North,1,2,2,Yes,No,2025-11-18
R00405,25,PreferNot,West,4,2,4,Yes,No,2025-12-21
R00406,30,Nonbinary,West,4,1,5,No,Yes,2025-12-25
R00407,51,F,East,3,5,3,No,Yes,2025-03-14
R00408,20,Nonbinary,East,2,3,5,No,Yes,2025-02-05
R00409,71,PreferNot,North,5,2,2,Yes,Yes,2025-08-10
R00410,30,PreferNot,West,5,2,3,No,Yes,2025-05-28
R00411,58,Nonbinary,South,1,1,1,Yes,No,2025-05-22
R00412,49,Nonbinary,West,2,4,3,Yes,Yes,2025-02-21
R00413,52,Nonbinary,West,4,5,4,Yes,No,2025-01-18
R00414,35,F,West,1,2,3,Yes,No,2025-07-09
R00415,23,F,East,4,1,4,Yes,No,2025-11-15
R00416,76,Nonbinary,South,5,1,1,No,No,2025-02-17
R00417,32,M,Central,1,3,5,No,No,2025-01-21
R00418,76,Nonbinary,South,1,2,1,Yes,No,2025-03-16
R00419,75,PreferNot,East,3,1,5,Yes,Yes,2025-06-25
R00420,31,M,North,5,5,3,No,Yes,2025-12-15
R00421,67,Nonbinary,South,5,5,5,Yes,Yes,2025-06-17
R00422,77,M,South,4,2,3,No,No,2025-07-02
R00423,18,F,West,1,2,3,Yes,No,2025-10-09
R00424,79,Nonbinary,Central,1,3,4,Yes,No,2025-01-03
R00425,56,F,West,3,1,1,No,Yes,2025-02-18
R00426,28,M,East,5,3,1,Yes,Yes,2025-06-20
R00427,32,M,Central,3,2,2,No,Yes,2025-11-21
R00428,68,Nonbinary,North,2,2,2,No,Yes,2025-05-06
R00429,27,M,Central,4,2,3,No,Yes,2025-05-06
R00430,23,M,East,1,4,5,No,No,2025-04-03
R00431,53,M,West,3,3,3,No,No,2025-04-11
R00432,22,PreferNot,South,4,1,1,No,No,2025-02-17
R00433,43,Nonbinary,North,5,1,3,No,Yes,2025-07-16
R00434,54,Nonbinary,East,4,1,5,Yes,Yes,2025-08-15
R00435,50,PreferNot,West,1,5,1,Yes,No,2025-03-27
R00436,68,Nonbinary,East,3,2,5,No,Yes,2025-10-27
R00437,71,M,West,4,3,4,No,Yes,2025-08-17
R00438,61,M,East,4,3,4,No,No,2025-06-20
